id;descripcio;nogis;uso;nivel;N_patente;Nombre_comercio;Id_persona;Aprobacion;Categoria;Actividad ;Permiso_salud;Vigencia_p;Tipo_rotulo;Dimension;Rotulo;Provincia;Lic_licor;Codigo_act;Nogis_1;N_finca;F_real;Derecho;Direccion_;Filial;N_plano_ca;Tipo_persona;Distrito;Canton;Este;Norte;Longitud;Latitud
8775;PREDIO ORDINARIO;327036000;;0;339;COMPANIA MERCANTIL;113689;1/6/1999;COM;Repuestos;339;;;0;SI;1;0;234;327036000;498178;;0;POZOS, DEL HOTEL CONFORT 264 NORTE.;;1-749463-2001;Juridica;POZOS;SANTA ANA;478888.37;1099922.07;9.9473;-84.19254
12029;PREDIO ORDINARIO;126338000;;0;127;AUTO CENTRO SANTA ANA;15585;25/7/2000;COM;Repuestos;127;;;0;NO;1;0;494;126338000;165302;;3;SANTA ANA, CENTRO, DE LA GUARIA 200 OESTE Y 75 NORTE.;;1-3531-1976;Juridica;SANTA ANA;SANTA ANA;479989.14;1098518.8;9.93462;-84.1825
11549;PREDIO ORDINARIO;105002000;;0;272;CASTRO CAMIONES Y REPUESTOS;8401;4/5/2000;COM;Repuestos;272;;;0;SI;1;0;1007;105002000;409743;;0;SANTA ANA, CENTRO, DE FURATI 578 NORTE.;;1-705519-1987;Juridica;SANTA ANA;SANTA ANA;479761.51;1099281.45;9.94151;-84.18458
11578;PREDIO ORDINARIO;101036000;;0;419;BOMBA TOTAL SANTA ANA;13055;16/5/2000;COM;Repuestos;01-0060-2020;4/5/2025 00:00;;0;NO;1;0;349;101036000;383630;;0;SANTA ANA, CENTRO, COSTADO NORTE DE LA CRUZ ROJA, BOMBA TOTAL.;;1-572759-1999;Juridica;SANTA ANA;SANTA ANA;479349.26;1098469.17;9.93417;-84.18833
8677;PREDIO ORDINARIO;312200000;;0;522;ROLTEC;3609;31/10/2013;COM;Repuestos;522;;;0;SI;1;0;1220;312200000;343964;;0;POZOS, DEL HOGAR DE REHABILITACION 87 OESTE.;;1-594448-1985;Fisica;POZOS;SANTA ANA;479012.31;1100102.02;9.94893;-84.19141
29318;PREDIO ORDINARIO;121075000;;0;643;JCHA DE SANTA ANA;15954;10/3/2005;COM;Repuestos;643;15/4/2022 00:00;;0;NO;1;0;1219;121075000;560559;;0;DE LA INTERSECCION DE RUTA NACIONAL 311 CON AVENIDA 02, 227 MTS. AL ESTE.;;1-865527-2003;Juridica;SANTA ANA;SANTA ANA;480667.03;1097999.4;9.92993;-84.17631
2348;PREDIO ORDINARIO;124146000;;0;692;BARBERIA  MODESTO;7482;2/2/1993;COM;Salon de belleza / Barberia;692;;;0;SI;1;0;107;124146000;618585;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 200 SUR. NOTA: REUNION FINCAS: 078259-000 (124-146-000) Y 110757-000 (124-147-000);;1-1470785-2011;Fisica;SANTA ANA;SANTA ANA;480147.44;1098109.52;9.93092;-84.18105
14194;PREDIO ORDINARIO;124002000;;0;694;PELUQUERIA HEBERT;5118;1/12/2002;COM;Salon de belleza / Barberia;694;;;0;NO;1;0;712;124002000;525707;;0;SANTA ANA, CENTRO, DE LA MUNICIPALIDAD 100 SUR.;;1-656849-1986;Fisica;SANTA ANA;SANTA ANA;480163.22;1098198.34;9.93172;-84.18091
9775;PREDIO ORDINARIO;305009000;;0;291;SALA DE BELLEZA ADRIANA;15642;20/7/1999;COM;Salon de belleza / Barberia;291;;;0;SI;1;0;0;305009000;204669;;0;POZOS, DEL ANTIGUO BAR JENNY 100 OESTE Y 100 NORTE.;;1-771648-2002;Fisica;PIEDADES;SANTA ANA;478976.16;1101680.84;9.9632;-84.19175
10429;PREDIO ORDINARIO;310138001;;0;457;TRUKOS STYLE;15808;23/10/1999;COM;Salon de belleza / Barberia;457;;;0;SI;1;0;0;310138001;253304;;0;POZOS, DE LA IGLESIA 650 NORTE.;;1-1568785-2012;Fisica;POZOS;SANTA ANA;479156.34;1100853.88;9.95573;-84.1901
